scilifelab_id	detailed_name	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order	organ_color	comment_260126	keep_260126
E100006697_25	dorsal root ganglion	dorsal root ganglion	brain	Brain	Brain	#FFDD00	1	123	#F1BF46		
E100006695_90	dorsal root ganglion	dorsal root ganglion	brain	Brain	Brain	#FFDD00	1	123	#F1BF46		
E100006703_53	hypothalamus	hypothalamus	brain	Brain	Brain	#FFDD00	1	126	#F1BF46		
E100006703_35	hypothalamus	hypothalamus	brain	Brain	Brain	#FFDD00	1	126	#F1BF46		
E100006703_28	hypothalamus	hypothalamus	brain	Brain	Brain	#FFDD00	1	126	#F1BF46		
E100006695_92	hypothalamus	hypothalamus	brain	Brain	Brain	#FFDD00	1	126	#F1BF46		
E100006695_28	hypothalamus	hypothalamus	brain	Brain	Brain	#FFDD00	1	126	#F1BF46		
E100006703_127	septal area	septal area	brain	Brain	Brain	#FFDD00	1	131	#F1BF46		
E100006703_114	septal area	septal area	brain	Brain	Brain	#FFDD00	1	131	#F1BF46		
E100006698_68	septal area	septal area	brain	Brain	Brain	#FFDD00	1	131	#F1BF46		
E100006698_127	septal area	septal area	brain	Brain	Brain	#FFDD00	1	131	#F1BF46		
E100006695_52	septal area	septal area	brain	Brain	Brain	#FFDD00	1	131	#F1BF46		
E100006695_127	septal area	septal area	brain	Brain	Brain	#FFDD00	1	131	#F1BF46		
E100006697_42	frontal cortex	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166	#F1BF46		
E100006695_91	frontal cortex	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166	#F1BF46		
E100006695_37	frontal cortex	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166	#F1BF46		
E100006695_25	frontal cortex	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166	#F1BF46		
E100006697_47	occipital cortex	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171	#F1BF46		
E100006697_43	occipital cortex	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171	#F1BF46		
E100006695_94	occipital cortex	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171	#F1BF46		
E100006695_104	occipital cortex	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171	#F1BF46		
E100006698_58	amygdala	amygdala	brain	Brain	Brain	#FFDD00	1	11181	#F1BF46		
E100006697_50	amygdala	amygdala	brain	Brain	Brain	#FFDD00	1	11181	#F1BF46		
E100006697_44	amygdala	amygdala	brain	Brain	Brain	#FFDD00	1	11181	#F1BF46		
E100006697_124	amygdala	amygdala	brain	Brain	Brain	#FFDD00	1	11181	#F1BF46		
E100006698_61	pons	pons	brain	Brain	Brain	#FFDD00	1	14273	#F1BF46		
E100006698_60	pons	pons	brain	Brain	Brain	#FFDD00	1	14273	#F1BF46		
E100006698_57	pons	pons	brain	Brain	Brain	#FFDD00	1	14273	#F1BF46		
E100006695_51	pons	pons	brain	Brain	Brain	#FFDD00	1	14273	#F1BF46	got some dopamine neurons(midbrain) bu still pons for sure. Probably fine	Discuss
E100006698_59	medulla oblongata	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285	#F1BF46		
E100006697_48	medulla oblongata	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285	#F1BF46		
E100006697_46	medulla oblongata	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285	#F1BF46		
E100006695_93	medulla oblongata	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285	#F1BF46		
E100006697_41	cerebellum	cerebellum	brain	Brain	Brain	#FFDD00	1	14789	#F1BF46		
E100006697_16	cerebellum	cerebellum	brain	Brain	Brain	#FFDD00	1	14789	#F1BF46		
E100006697_126	cerebellum	cerebellum	brain	Brain	Brain	#FFDD00	1	14789	#F1BF46		
E100006695_36	cerebellum	cerebellum	brain	Brain	Brain	#FFDD00	1	14789	#F1BF46		
E100006703_39	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006702_65	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006701_61	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006701_39	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006700_61	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006697_101	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006695_39	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006695_101	retina	retina	retina	Eye	Eye	#FFEF78	2	97	#F7EF8A		
E100006701_28	cornea	cornea	cornea	Eye	Eye	#FFEF78	2	111	#F7EF8A		
E100006699_4	cornea	cornea	cornea	Eye	Eye	#FFEF78	2	111	#F7EF8A		
E100006703_98	lens	lens	lens	Eye	Eye	#FFEF78	2	113	#F7EF8A		
E100006699_82	lens	lens	lens	Eye	Eye	#FFEF78	2	113	#F7EF8A		
E100006699_67	lens	lens	lens	Eye	Eye	#FFEF78	2	113	#F7EF8A		
E100006702_89	thyroid gland	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90	#A794B2	with skeletal muscle	discuss
E100006700_70	thyroid gland	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90	#A794B2		
E100006700_121	thyroid gland	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90	#A794B2		
E100006699_70	thyroid gland	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90	#A794B2		
E100006698_73	thyroid gland	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90	#A794B2	with skeletal muscle	discuss
E100006695_89	thyroid gland	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90	#A794B2	with skeletal muscle	discuss
E100006699_89	parathyroid gland	parathyroid gland	parathyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	91	#A794B2		
E100006699_76	parathyroid gland	parathyroid gland	parathyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	91	#A794B2	caught immune cells 	discuss
E100006697_114	parathyroid gland	parathyroid gland	parathyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	91	#A794B2	got more fat	discuss
E100006702_73	adrenal gland	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92	#A794B2		
E100006702_46	adrenal gland	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92	#A794B2		
E100006702_2	adrenal gland	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92	#A794B2		
E100006697_13	adrenal gland	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92	#A794B2		
E100006703_126	pituitary gland	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98	#A794B2		
E100006700_126	pituitary gland	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98	#A794B2		
E100006697_115	pituitary gland	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98	#A794B2		
E100006695_50	pituitary gland	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98	#A794B2		
E100006695_121	pituitary gland	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98	#A794B2		
E100006703_56	pineal gland	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99	#A794B2		
E100006703_49	pineal gland	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99	#A794B2		
E100006702_93	pineal gland	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99	#A794B2		
E100006698_93	pineal gland	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99	#A794B2		
E100006695_83	pineal gland	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99	#A794B2		
E100006702_48	bronchus	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006702_3	bronchus	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006701_42	bronchus	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006697_56	bronchus	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006703_45	larynx	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006702_78	larynx	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006700_91	larynx	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006697_98	larynx	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006703_47	nasopharynx epithelium	nasopharynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	Squamous	Discuss
E100006702_81	nasopharynx epithelium	nasopharynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	Ciliated/squamous transition	Discuss
E100006702_60	nasopharynx epithelium	nasopharynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	Purely ciliated cells	Discuss
E100006701_65	nasopharynx epithelium	nasopharynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	Ciliated/squamous transition	Discuss
