PID	FC-BID
nas_male-1	E100006703-47,E100006701-47
nas_male-4	E100006702-60
occipital-cortex_female-2	E100006698-62
occipital-cortex_female-3	E100006697-43
occipital-cortex_male-2	E100006695-94
occipital-cortex_male-3	E100006695-104
olf_female-1	E100006702-82
olf_female-4	E100006703-100
olf_male-1	E100006699-44
olf_male-4	E100006700-92,E100006699-92
olfactory-bulb_female-2	E100006703-36
olfactory-bulb_female-3	E100006703-116
olfactory-bulb_male-2	E100006698-63
olfactory-bulb_male-3	E100006703-30
ora_female-1	E100006701-38
ora_female-4	E100006698-84
ora_male-1	E100006703-48
ora_male-4	E100006700-93,E100006699-93
ova_female-1	E100006702-83
ova_female-4	E100006703-101
pan_female-1	E100006699-83
pan_female-4	E100006697-100
pan_male-1	E100006699-45
pan_male-4	E100006698-75
para_female-1	E100006699-89
para_female-4	E100006697-114
para_male-4	E100006699-76
pcard_female-1	E100006702-84
pcard_female-4	E100006701-66
pcard_male-4	E100006702-61
pen_male-1	E100006700-57
pen_male-4	E100006700-94
pineal_female-1	E100006702-93,E100006698-93
pineal_female-2	E100006703-49
pineal_female-3	E100006703-56
pineal_female-4	E100006695-83
pituitary-_female-2	E100006697-115
pituitary-_female-3	E100006695-50
pituitary-_male-2	E100006703-126,E100006700-126
pituitary-_male-3	E100006695-121
ple_male-1	E100006700-58
pons_female-2	E100006698-57
pons_female-3	E100006695-51
pons_male-2	E100006698-61
pons_male-3	E100006698-60
pro-2_male-1	E100006699-46
pro-2_male-4	E100006702-62,E100006698-79
pro-a_male-1	E100006697-52
pro-a_male-4	E100006702-63
rec_female-1	E100006702-85
rec_female-4	E100006702-67,E100006701-67
rec_male-1	E100006700-60,E100006701-60
rec_male-4	E100006702-64
ret_female-2	E100006703-39,E100006701-39,E100006695-39
ret_female-3	E100006697-101
ret_male-2	E100006695-101,E100006700-61,E100006701-61
ret_male-3	E100006702-65
retrosplenial-cortex_male-2	E100006698-64
retrosplenial-cortex_male-3	E100006703-26
sal_female-1	E100006698-3
sal_female-4	E100006697-45
sal_male-1	E100006700-62
sal_male-4	E100006700-95
sem_male-1	E100006697-35
sem_male-4	E100006700-96
septal-area_female-2	E100006698-68
septal-area_female-3	E100006695-52
septal-area_male-2	E100006703-127,E100006695-127,E100006698-127
septal-area_male-3	E100006703-114
ske_female-1	E100006701-49,E100006695-49
ske_female-4	E100006701-69
ske_male-1	E100006700-63,E100006701-63
ske_male-4	E100006700-97
skib_female-1	E100006699-84
skib_female-4	E100006701-70
skib_male-1	E100006699-47
skib_male-4	E100006699-72
skih_female-1	E100006699-85
skih_female-4	E100006698-72
skih_male-1	E100006699-48
skih_male-4	E100006699-73
skil_female-1	E100006703-50,E100006701-50
skil_female-4	E100006701-72
skil_male-1	E100006700-64
skil_male-4	E100006700-98
smoi_female-1	E100006702-86
smoi_female-4	E100006703-102,E100006695-102
smoi_male-1	E100006699-57
smoi_male-4	E100006700-99,E100006697-99
smou_female-1	E100006698-82
smou_female-4	E100006697-73
somatosensory-cortex_female-2	E100006695-32
somatosensory-cortex_female-3	E100006697-26
somatosensory-cortex_male-2	E100006697-122
somatosensory-cortex_male-3	E100006697-127
spinal-cord_female-2	E100006703-38
spinal-cord_female-3	E100006695-53
spinal-cord_male-2	E100006695-97
spinal-cord_male-3	E100006697-39
spl_female-1	E100006702-87
spl_female-4	E100006703-103,E100006695-103
spl_male-1	E100006700-65
spl_male-4	E100006702-66
stol_female-1	E100006701-51
stol_female-4	E100006697-74
stol_male-1	E100006702-41
stol_male-4	E100006697-36
stom_female-1	E100006698-4
stom_female-4	E100006698-65
stom_male-1	E100006700-66,E100006699-66
stom_male-4	E100006700-100
stou_female-1	E100006701-53
stou_female-4	E100006697-102
stou_male-1	E100006700-67
stou_male-4	E100006700-101
syn_female-1	E100006701-116
syn_female-4	E100006697-103
syn_male-1	E100006699-58
tear_female-1	E100006699-87
tear_female-2	E100006701-55,E100006695-55
tear_female-3	E100006697-77
tear_female-4	E100006697-76
tear_male-1	E100006699-59
tear_male-2	E100006700-68,E100006701-68
tear_male-3	E100006700-103
tear_male-4	E100006700-102
tes_male-1	E100006700-69
tes_male-4	E100006697-53
thalamus_female-2	E100006697-49
thalamus_female-3	E100006695-116
thalamus_male-2	E100006698-81
thalamus_male-3	E100006695-123
thym_female-1	E100006697-37
thym_female-4	E100006697-78
thym_male-4	E100006698-77
thyr_female-1	E100006702-89,E100006695-89
thyr_female-4	E100006698-73
thyr_male-1	E100006700-70,E100006699-70
thyr_male-4	E100006700-121
tong_female-1	E100006702-90
tong_female-4	E100006697-80
tong_male-1	E100006700-71,E100006701-71,E100006699-71
tong_male-4	E100006702-68
trac_female-1	E100006701-56
trac_female-4	E100006695-81
trac_male-1	E100006700-72
trac_male-4	E100006700-122
uri_female-1	E100006701-1
uri_female-4	E100006695-82
uri_male-1	E100006702-42
uri_male-4	E100006702-69
ute_female-1	E100006702-91
ute_female-4	E100006703-104,E100006700-104,E100006698-104
vagi_female-1	E100006701-2
vagi_female-4	E100006703-121
vagu_female-1	E100006702-92
vagu_female-4	E100006703-122,E100006695-122
vagu_male-1	E100006700-73
vagu_male-4	E100006702-70
vein_female-1	E100006699-88
vein_female-4	E100006697-104
vein_male-1	E100006699-60
vein_male-4	E100006700-123,E100006697-123
ventral-forebrain_female-2	E100006695-33
ventral-forebrain_female-3	E100006703-55
ventral-forebrain_male-2	E100006703-128,E100006700-128
ventral-forebrain_male-3	E100006703-33,E100006701-33
